epochs,average,maximum
1,128.42,404
2,168.78,423
3,424.62,1392
4,543.88,2097
5,611.9,2784
6,415.56,891
7,620.48,1735
8,464.74,1573
9,650.7,1754
10,733.94,2350
11,632.56,3203
12,741.46,1950
13,580.96,2420
14,805.02,2261
15,918.6,3580
16,1311.08,3222
17,952.08,2619
18,1591.94,3526
19,1152.4,3720
20,967.02,2603
21,1209.86,6000
22,1390.28,4740
23,814.06,4356
24,1445.28,5621
25,1049.56,4082
26,1129.14,5015
27,1479.92,7232
28,1700.4,5664
29,1169.16,3658
30,1766.46,5179
31,2469.48,8717
32,1972.54,6247
33,1565.66,5673
34,1691.02,4665
35,1399.88,5768
36,1820.08,7372
37,1631.06,4386
38,1664.7,12062
39,1783.6,6336
40,1352.1,6165
41,2240.1,6013
42,1629.86,4642
43,1341.66,4867
44,1561.82,6299
45,1749.32,4640
46,1520.9,5628
47,1873.54,8298
48,1445.18,4899
49,2744.54,10084
50,1948.54,7583
