epochs,average,maximum
1,133.76,506
2,182.42,509
3,212.9,657
4,318.3,1733
5,458.7,2018
6,393.6,1627
7,446.08,1326
8,476.56,1358
9,620.94,2079
10,525.94,1251
11,494.44,1400
12,567.74,1896
13,792.06,2615
14,719.92,2045
15,591.32,1627
16,1101.94,2472
17,925.98,3634
18,1052.68,2910
19,962.22,3106
20,1022.78,2893
21,1760.74,4509
22,1135.76,4321
23,1271.96,9351
24,1228.76,3620
25,1215.28,3962
26,1450.16,5120
27,1166.6,4791
28,1615.54,5648
29,2015.4,4782
30,1689.28,5272
31,1647.04,5040
32,1894.2,6024
33,1134.76,2979
34,1504.52,5782
35,1845.38,4940
36,1359.64,5601
37,1171.9,4429
38,1327.82,4690
39,1787.42,5578
40,1594.82,5159
41,1749.26,5199
42,893.98,4622
43,1302.4,6766
44,1390.16,4171
45,1816.08,5057
46,1473.04,4866
47,1466.24,9803
48,2177.54,7307
49,1807.04,4773
50,1742.86,8665
