epochs,average,maximum
1,107.58,406
2,173.24,454
3,262.7,1155
4,390.76,1167
5,419.08,1816
6,350.58,1630
7,562.6,1858
8,515.24,2005
9,332.72,1383
10,691.72,2796
11,689.48,3403
12,740.34,2008
13,676.68,2151
14,835.86,2876
15,941.28,2845
16,1033.7,3214
17,1305.72,4328
18,1201.04,5513
19,983.28,4615
20,995.76,3743
21,1175.12,3971
22,1067.22,2771
23,1316.38,5548
24,910.04,2658
25,1289.24,3635
26,1392.24,3925
27,1040.02,3271
28,1666.2,5161
29,1497.66,4669
30,1312.38,4573
31,1980.78,8158
32,1917.46,7679
33,1794.56,4916
34,1406.74,4610
35,2038.3,6638
36,1518.06,4908
37,1179.66,4458
38,1667.48,6049
39,1635.5,5096
40,1217.7,6604
41,1293.32,3777
42,1628.96,4900
43,1539.42,5940
44,1709.24,7969
45,1484.12,4674
46,1736.98,4292
47,1534.02,6260
48,2102.46,6847
49,1812.52,6024
50,1547.3,4754
