epochs,average,maximum
1,194.46,697
2,325.0,1677
3,390.08,1218
4,363.82,1354
5,523.28,1219
6,343.96,902
7,488.44,1403
8,550.3,3001
9,604.02,2106
10,684.0,3070
11,555.92,2674
12,702.0,2882
13,1117.8,3663
14,679.78,2473
15,585.1,2413
16,807.16,3634
17,818.94,2893
18,664.2,3213
19,976.46,2465
20,788.12,3273
21,1490.84,4738
22,1248.74,3705
23,1058.78,2850
24,1636.74,5460
25,1630.04,4711
26,1029.42,3853
27,2056.74,6439
28,1419.52,4692
29,1446.02,5814
30,1981.08,7222
31,1397.48,5128
32,1876.12,7679
33,1436.44,4605
34,1496.84,5651
35,1387.52,3767
36,1554.72,5400
37,1932.7,7776
38,1720.52,8648
39,1392.9,4651
40,2010.36,6798
41,2415.7,5234
42,1479.18,4279
43,2126.14,5960
44,2609.2,7000
45,983.94,3420
46,1597.98,6398
47,1598.36,6862
48,1936.68,10863
49,1481.94,4782
50,1738.4,7571
