epochs,average,maximum
1,136.02,352
2,199.1,513
3,422.12,1169
4,507.96,1641
5,727.62,1904
6,493.62,1675
7,663.72,2072
8,610.1,2515
9,731.98,2214
10,799.68,3158
11,817.06,2678
12,848.3,3282
13,995.7,3219
14,695.3,3351
15,1116.36,3000
16,845.92,4304
17,896.6,3388
18,844.96,4375
19,570.94,1659
20,713.48,3542
21,787.46,3172
22,606.66,1775
23,757.78,2499
24,722.22,2683
25,529.58,1821
26,623.18,2941
27,578.66,1560
28,535.04,2259
29,743.64,2916
30,742.32,2192
31,747.76,2896
32,708.76,2303
33,483.3,1883
34,599.48,3898
35,698.98,3242
36,671.72,2879
37,414.42,1444
38,838.92,2160
39,547.1,1608
40,747.34,2361
41,547.6,2312
42,759.46,3377
43,852.54,4305
44,627.3,3252
45,744.06,2416
46,672.04,2781
47,565.2,1707
48,700.62,2506
49,888.66,2954
50,637.78,2445
