epochs,average,maximum
1,125.78,320
2,242.4,1160
3,326.08,1192
4,433.04,1419
5,375.44,1304
6,555.8,1664
7,660.86,2578
8,672.78,2943
9,666.08,2830
10,688.42,1941
11,765.32,2370
12,623.0,2730
13,803.06,4075
14,616.86,1887
15,568.94,2335
16,1006.08,3231
17,692.44,4144
18,918.16,2764
19,745.74,2661
20,695.96,3218
21,490.18,2044
22,335.22,1045
23,697.88,2308
24,552.34,2409
25,545.26,1982
26,421.26,1114
27,684.06,4602
28,709.74,1981
29,1119.56,4573
30,782.1,2570
31,853.68,2219
32,691.48,2075
33,494.34,1608
34,1363.84,16351
35,684.84,3526
36,810.12,3396
37,740.46,3089
38,672.56,2054
39,668.76,3178
40,636.74,2673
41,514.76,2014
42,853.36,3389
43,820.9,3421
44,540.18,2144
45,554.28,2003
46,780.46,3282
47,520.26,2086
48,713.8,3580
49,847.36,2981
50,740.88,3465
