epochs,average,maximum
1,159.38,592
2,197.14,999
3,269.54,1180
4,550.76,1615
5,384.68,1373
6,664.26,2268
7,549.52,1682
8,487.8,2237
9,556.12,1856
10,620.92,1979
11,657.36,2277
12,674.88,2067
13,794.02,2001
14,587.52,2449
15,675.1,2889
16,535.84,2130
17,662.08,1675
18,556.32,1221
19,681.22,1730
20,522.28,1749
21,695.98,2600
22,1064.32,6158
23,827.88,2498
24,471.4,2217
25,561.08,3806
26,477.7,1680
27,529.26,3083
28,725.6,2143
29,675.98,2340
30,690.9,2856
31,478.98,1584
32,562.06,1689
33,710.46,2230
34,536.64,2239
35,601.32,2904
36,471.56,1650
37,491.56,2512
38,668.98,3362
39,715.52,3045
40,656.0,2319
41,606.56,2298
42,679.16,2978
43,573.28,2191
44,686.68,2123
45,452.46,1593
46,657.04,1917
47,637.22,1868
48,715.02,2458
49,901.6,3006
50,855.7,3426
