epochs,average,maximum
1,147.14,372
2,248.72,1015
3,349.22,1794
4,311.22,1119
5,486.04,2024
6,408.76,1200
7,532.72,2286
8,462.92,1836
9,469.92,1832
10,768.48,3157
11,748.78,2188
12,787.76,2586
13,677.98,3058
14,812.42,2675
15,728.44,3018
16,570.38,2326
17,736.1,3054
18,619.68,2675
19,617.24,1677
20,705.44,2100
21,749.46,5341
22,734.16,3677
23,772.4,3531
24,508.06,1508
25,519.96,2132
26,420.88,1496
27,496.44,1427
28,605.58,2069
29,529.52,2082
30,740.16,1967
31,709.62,2924
32,520.42,2925
33,649.02,2109
34,588.36,2277
35,602.98,4046
36,824.08,2735
37,669.66,3520
38,906.48,3934
39,487.14,1534
40,915.5,2432
41,454.8,2450
42,558.24,2009
43,786.94,5009
44,1029.74,8051
45,790.44,5882
46,516.78,1692
47,441.76,1563
48,590.98,3201
49,633.24,3040
50,788.68,3844
