epochs,average,maximum
1,100.02,362
2,202.84,643
3,314.5,1173
4,556.96,2074
5,472.76,1761
6,474.7,1527
7,779.1,2137
8,818.42,2826
9,623.58,1961
10,742.92,3132
11,801.08,3215
12,1029.42,5114
13,993.36,3638
14,1093.74,4451
15,1261.8,3759
16,1063.28,3830
17,1534.04,6105
18,1027.72,3988
19,1515.86,3463
20,1538.08,11465
21,1846.86,8795
22,2220.14,6231
23,2149.26,6439
24,1636.94,4508
25,2059.96,7502
26,1128.94,5849
27,2306.76,7076
28,1877.46,9467
29,1999.8,5004
30,1571.54,7217
31,1840.5,4592
32,1534.04,4816
33,1753.58,5376
34,1770.24,5946
35,1839.76,6458
36,1906.16,6255
37,1722.86,9088
38,1607.26,6788
39,1769.3,6086
40,2021.6,6035
41,2061.72,5238
42,1855.48,8174
43,2006.4,6406
44,1908.88,5104
45,1708.96,6451
46,1820.76,11951
47,1704.82,4870
48,1974.14,7918
49,2387.18,7529
50,2514.66,8333
