epochs,average,maximum
1,104.08,504
2,203.5,701
3,362.26,1223
4,384.4,1621
5,597.26,1785
6,606.9,1568
7,663.92,2458
8,662.54,1696
9,727.36,2800
10,895.32,2663
11,741.32,2655
12,852.92,2929
13,978.42,4651
14,1058.58,3587
15,1165.72,4550
16,1123.4,3619
17,985.62,3573
18,1451.34,8156
19,1308.54,9710
20,1782.66,5141
21,1409.9,3910
22,1773.4,5618
23,1931.72,5479
24,2027.98,6856
25,1696.88,5889
26,1664.24,4350
27,1613.58,5786
28,1778.24,4218
29,1799.64,6693
30,1453.68,4629
31,1876.1,7861
32,2011.58,8114
33,1593.4,6202
34,2073.74,7313
35,1986.8,6063
36,2240.66,7465
37,2056.64,10120
38,2323.98,9133
39,1567.26,4697
40,1548.12,4812
41,1634.8,6701
42,2237.82,6518
43,1689.18,5115
44,2190.14,8009
45,2296.2,5148
46,1959.06,5303
47,2489.04,7237
48,1906.32,7177
49,2180.42,6314
50,2409.36,9641
