epochs,average,maximum
1,101.94,483
2,153.76,579
3,428.34,1451
4,456.66,2000
5,610.0,1679
6,487.04,1628
7,549.62,1828
8,714.78,1980
9,713.8,2206
10,672.3,2374
11,921.96,3168
12,1155.6,4618
13,1148.28,4072
14,817.26,3219
15,1207.54,4908
16,1127.64,3629
17,1085.48,3839
18,1059.88,3153
19,1377.82,4309
20,1466.36,5384
21,1822.58,6180
22,1826.52,5203
23,1570.9,4708
24,1284.86,4746
25,1782.18,6042
26,1956.64,7892
27,1723.66,5052
28,1397.14,11061
29,1876.52,13559
30,2076.08,7028
31,1594.3,5235
32,1932.06,5688
33,1634.54,3606
34,1196.36,4837
35,1646.82,5419
36,1433.78,8433
37,1835.24,6275
38,1987.88,6615
39,2062.84,5157
40,1738.74,6017
41,2245.2,5138
42,1700.12,5046
43,1227.92,3897
44,1279.88,6082
45,1678.28,7460
46,1988.06,5758
47,1264.42,4638
48,1374.14,3238
49,2049.26,6208
50,1643.88,6132
