epochs,average,maximum
1,108.18,381
2,197.88,1035
3,396.16,1603
4,477.46,1803
5,552.42,1805
6,651.96,2846
7,568.12,1807
8,542.38,2312
9,747.3,2148
10,818.8,2535
11,929.7,3122
12,785.12,2445
13,1054.0,3853
14,1345.14,6703
15,1226.68,4556
16,1379.9,5201
17,1437.56,4696
18,1569.24,4719
19,1348.1,3443
20,1585.22,7022
21,1749.8,6580
22,1382.84,5736
23,1240.62,5095
24,1679.16,6732
25,1244.96,4316
26,2094.98,5395
27,1709.38,3734
28,1883.96,7303
29,1927.58,6700
30,1796.22,6568
31,1964.1,5650
32,2230.54,6605
33,1948.44,5850
34,1797.64,6056
35,2168.52,7044
36,1938.22,9496
37,2678.26,7829
38,1870.86,8058
39,1851.56,5569
40,2613.3,11412
41,2184.56,9975
42,2276.72,6878
43,2268.8,7168
44,2156.14,5398
45,2151.86,10006
46,1788.14,5366
47,1829.04,5174
48,2021.44,9227
49,1632.02,5303
50,2195.36,6952
