epochs,average,maximum
1,114.86,276
2,244.34,1040
3,654.56,2279
4,636.46,1863
5,984.52,4525
6,866.28,2696
7,894.22,2494
8,1185.42,3563
9,1003.64,4676
10,1149.96,4689
11,1154.78,3567
12,1224.08,5523
13,922.32,4821
14,763.16,2636
15,967.74,2949
16,1021.0,3619
17,973.62,2770
18,1052.9,3252
19,789.86,2549
20,626.72,1716
21,777.26,2755
22,938.24,5995
23,1002.0,2817
24,841.18,3609
25,956.2,3058
26,617.94,1924
27,869.8,4620
28,1159.5,4480
29,997.22,5419
30,841.46,3085
31,788.16,4851
32,986.5,3422
33,983.84,2622
34,1081.42,13774
35,1201.36,9745
36,799.14,4500
37,833.66,4161
38,1141.56,4307
39,1199.2,7761
40,887.88,2733
41,690.18,2282
42,652.9,2703
43,650.86,2459
44,984.7,6163
45,961.88,2834
46,519.34,2156
47,757.12,2554
48,1152.14,4237
49,1528.46,6272
50,682.5,3654
