epochs,average,maximum
1,106.62,523
2,293.06,1644
3,583.32,2014
4,673.84,2434
5,875.22,2554
6,771.12,2357
7,687.64,2421
8,920.26,2448
9,790.94,3269
10,975.76,3044
11,1048.5,3840
12,955.02,3627
13,989.32,2925
14,1072.24,2881
15,916.32,2387
16,1191.82,3436
17,1155.16,3354
18,614.32,2696
19,919.42,2854
20,663.44,2404
21,840.88,3476
22,931.0,2730
23,719.7,2925
24,676.98,2091
25,606.46,1857
26,784.62,2689
27,879.18,3249
28,718.24,2146
29,955.22,2710
30,1059.62,3453
31,876.72,3703
32,780.38,3257
33,1121.14,6593
34,996.5,4435
35,833.32,3032
36,639.2,2047
37,738.32,2344
38,698.2,3010
39,994.56,5122
40,1179.44,4954
41,916.1,2348
42,1095.12,3986
43,744.46,3746
44,816.18,2294
45,971.14,3748
46,918.4,3110
47,940.86,3550
48,589.18,4108
49,625.8,2108
50,790.1,2594
