epochs,average,maximum
1,114.06,290
2,191.24,1333
3,468.68,1351
4,595.96,2105
5,739.66,2283
6,736.22,2332
7,592.06,1976
8,879.2,3082
9,1123.78,2612
10,659.52,3346
11,967.58,3844
12,839.72,2710
13,941.54,3498
14,904.72,4679
15,868.34,3159
16,715.02,2696
17,908.18,3252
18,866.02,5107
19,791.8,2134
20,724.14,2950
21,793.72,3168
22,737.72,4897
23,843.86,3591
24,647.4,2797
25,654.8,2269
26,579.84,1651
27,703.92,2736
28,776.86,2493
29,598.86,3449
30,553.52,3175
31,440.26,1572
32,551.38,3244
33,554.34,1972
34,533.72,2114
35,497.74,2353
36,705.6,4580
37,587.66,1976
38,582.44,2119
39,533.88,2732
40,641.68,4162
41,752.0,3752
42,890.46,2518
43,1044.92,8986
44,797.08,4667
45,1042.92,4763
46,1079.54,6460
47,1321.2,6143
48,1267.98,5702
49,1367.06,4859
50,1153.34,3432
